Modul_ID|Modul_Name|Scenario_ID|Tester_POV|Test_Description|Expected_Result|Test_Type
C|Upload Template Jurnal & Approve|SYN-C05|Akuntan|Sebagai Akuntan, saya upload template dengan baris tidak seimbang (debit tidak sama dengan kredit).|Sistem MENOLAK approve dan menampilkan pesan tidak seimbang.|Negative
C|Upload Template Jurnal & Approve|SYN-C06|Admin IT|Sebagai Admin IT, saya upload template dengan format/kolom salah.|Sistem MENOLAK dengan pesan validasi yang jelas.|Negative
C|Upload Template Jurnal & Approve|SYN-C07|Admin IT|Sebagai Admin IT, saya verifikasi jurnal berstatus pending dapat di-approve menjadi posted.|Status berubah pending menjadi posted dan tercatat di audit trail.|Negative
D|Laporan Triwulan & Semester|SYN-D01|Direktur|Sebagai Direktur, saya buka Laporan Triwulan II (Apr-Jun) setelah input transaksi Juni.|Data ter-update; akumulasi diambil dari laporan bulanan Apr+Mei+Jun.|Positive
D|Laporan Triwulan & Semester|SYN-D02|Direktur|Sebagai Direktur, saya buka Laporan Semester I (Jan-Jun).|Data ter-update; akumulasi dari enam laporan bulanan.|Positive
D|Laporan Triwulan & Semester|SYN-D03|Auditor|Sebagai Auditor, saya bandingkan total triwulan/semester vs penjumlahan laporan bulanan.|Angka identik dan konsisten dengan LRA bulanan.|Positive
D|Laporan Triwulan & Semester|SYN-D04|Direktur|Sebagai Direktur, saya verifikasi laporan bulanan tersedia hingga bulan berjalan (Juni).|Tersedia laporan untuk seluruh bulan Jan-Jun (tidak terhenti di April).|Negative
D|Laporan Triwulan & Semester|SYN-D05|Direktur|Sebagai Direktur, saya buka laporan triwulan untuk periode tanpa data bulanan.|Tampil kosong/0 secara benar, bukan error.|Negative
E|Integrasi NPD (Nota Pencairan Dana)|SYN-E01|Manajer Keuangan|Sebagai Manajer Keuangan, setelah modul A-D PASS saya buka fitur NPD dan tarik data terkait.|NPD menampilkan data terintegrasi & sinkron dengan jurnal/LRA.|Positive
E|Integrasi NPD (Nota Pencairan Dana)|SYN-E02|Manajer Keuangan|Sebagai Manajer Keuangan, saya buat NPD mengacu transaksi/anggaran yang sudah tercatat.|Data NPD konsisten dengan realisasi LRA.|Positive
E|Integrasi NPD (Nota Pencairan Dana)|SYN-E03|Admin IT|Sebagai Admin IT, saya verifikasi prasyarat NPD (struktur data NPD tersedia).|Tabel/struktur NPD tersedia dan siap diintegrasikan.|Negative
F|Perbaikan UI/UX|SYN-F01|Akuntan|Sebagai Akuntan, saya menyalin (copy) nilai di dalam form Buat Jurnal.|Form tetap di halaman input; tidak melompat kembali ke menu/daftar jurnal.|Positive
F|Perbaikan UI/UX|SYN-F02|Auditor|Sebagai Auditor, saya geser/scroll horizontal pada tabel laporan (LRA/Laba Rugi).|Kolom dapat digeser untuk membandingkan angka tanpa split-screen.|Positive
F|Perbaikan UI/UX|SYN-F03|Akuntan|Sebagai Akuntan, saya gunakan menu filter Buku Besar/Jurnal per akun & per tanggal.|Hanya transaksi sesuai filter yang tampil (mis. beban pemeliharaan bangunan pasar bulan Juni).|Positive
